ID,Advisor,Problem,Ranking,InstitutionID
32159,Zhenhai Wang,A,Successful Participant,50
32160,Haibo Wu,B,Honorable Mention,50
32161,XiaoYin Wang,A,Successful Participant,11
32162,Yanling Xu,A,Successful Participant,11
32163,xin long Ren,B,Honorable Mention,26
32164,XiaoYin Wang,D,Honorable Mention,11
32165,Zhimin Hou,B,Successful Participant,11
32166,Wenhao Zhang,A,Successful Participant,82
32167,XIAOLONG JIANG,A,Successful Participant,83
32169,Baocai Zhang,A,Successful Participant,84
32170,Baocai Zhang,A,Successful Participant,84
32171,Meisong Tong,B,Successful Participant,82
32172,HENGXING LIU,D,Meritorious,87
32173,Zhibin Pan,D,Successful Participant,11
32174,Lingli Sun,D,Meritorious,11
32175,Zhijie Cai,A,Successful Participant,90
32176,Zhijie Cai,B,Successful Participant,90
32177,Yuan Cao,A,Successful Participant,90
32178,Qing-Kui Li,B,Successful Participant,93
32179,Yanhui Guan,C,Meritorious,94
32180,ZHENYU ZHANG,B,Successful Participant,95
32181,Zuoqing Chen,A,Honorable Mention,96
32182,Zhou Hongjun,A,Honorable Mention,97
32183,Shaowen Li,C,Honorable Mention,25
32185,Guocan Feng,D,Honorable Mention,94
32186,Lihui Xu,A,Successful Participant,100
32187,Huanliang Sun,A,Successful Participant,100
32188,Yanli Gu,A,Successful Participant,100
32189,Jingke Xu,A,Successful Participant,100
32190,Jianping Sun,A,Successful Participant,100
32191,Jianchao Wang,A,Successful Participant,100
32192,Fusheng Kou,A,Successful Participant,100
32193,Li Cong,A,Successful Participant,100
32195,Yanhui Guan,A,Successful Participant,94
32196,Liuqiang Zhong,D,Honorable Mention,109
32197,Fei Wang,A,Meritorious,110
32198,Yan Qin,A,Honorable Mention,111
32199,Haonan Zhu,A,Successful Participant,112
32200,Haonan Zhu,B,Honorable Mention,112
32201,Yanhong Liu,B,Meritorious,114
32202,Yang Yu,A,Successful Participant,114
32203,Qicheng Xu,A,Successful Participant,114
32204,Zhenxin Lei,B,Successful Participant,114
32205,Junling Liu,A,Successful Participant,114
32206,Nan Wu,A,Successful Participant,114
32209,Qicheng Xu,A,Successful Participant,114
32210,Qicheng Xu,A,Successful Participant,114
32211,Beibei Yin,A,Meritorious,122
32212,Yang Li,D,Honorable Mention,123
32213,Qinghua Wang,B,Successful Participant,124
32214,SUMIN HAO,A,Successful Participant,125
32215,Fanqiu Kong,A,Honorable Mention,126
32216,Fanqiu Kong,A,Honorable Mention,126
32217,Fanqiu Kong,A,Honorable Mention,126
32218,Dai Dai,B,Meritorious,25
32219,Yue Li,A,Honorable Mention,7
32220,Yingqi Tao,A,Successful Participant,131
32221,Xuan Guang,B,Successful Participant,7
32222,Wei Xu,C,Meritorious,133
32223,Kunping Zhu,A,Successful Participant,134
32224,Liang liang Ma,B,Successful Participant,135
32225,Shaowen Li,A,Successful Participant,25
32226,Dong Zijing,A,Successful Participant,137
32227,Dong Zijing,D,Meritorious,137
32228,Dong Zijing,B,Honorable Mention,137
32229,Dong Zijing,A,Honorable Mention,137
32230,Dong Zijing,D,Honorable Mention,137
32231,Dong Zijing,B,Meritorious,137
32232,Dong Zijing,A,Honorable Mention,137
32233,Dong Zijing,A,Honorable Mention,137
32234,Dong Zijing,B,Honorable Mention,137
32235,Dong Zijing,B,Honorable Mention,137
32236,Shao Linlin,A,Successful Participant,137
32237,Shao Linlin,A,Successful Participant,137
32238,Shao Linlin,C,Meritorious,137
32239,Shao Linlin,C,Successful Participant,137
32240,Shao Linlin,A,Successful Participant,137
32241,Shao Linlin,A,Successful Participant,137
32242,Shao Linlin,C,Honorable Mention,137
32243,Liangjian Hu,B,Successful Participant,154
32244,Shao Linlin,A,Honorable Mention,137
32245,Shao Linlin,C,Honorable Mention,137
32246,Shao Linlin,B,Meritorious,137
32247,Liu Yulong,A,Successful Participant,137
32248,Liu Yulong,A,Successful Participant,137
32249,Liu Yulong,B,Honorable Mention,137
32250,Liu Yulong,A,Honorable Mention,137
32251,Liu Yulong,A,Honorable Mention,137
32252,Liu Yulong,B,Honorable Mention,137
32253,Liu Yulong,B,Honorable Mention,137
32254,Liu Yulong,A,Successful Participant,137
32255,Liu Yulong,D,Honorable Mention,137
32256,Liu Yulong,B,Successful Participant,137
32257,Gao Dongxu,A,Successful Participant,137
32258,Gao Dongxu,A,Successful Participant,137
32259,Gao Dongxu,D,Meritorious,137
32260,Gao Dongxu,A,Successful Participant,137
32261,Gao Dongxu,A,Successful Participant,137
32262,Gao Dongxu,B,Successful Participant,137
32263,Gao Dongxu,D,Honorable Mention,137
32264,Gao Dongxu,A,Successful Participant,137
32265,Gao Dongxu,A,Honorable Mention,137
32266,Gao Dongxu,B,Successful Participant,137
32267,Yanhui Guan,D,Meritorious,94
32268,Fanqiu Kong,A,Successful Participant,126
32269,Fanqiu Kong,B,Successful Participant,126
32270,Wei Zhang,A,Successful Participant,181
32271,Yingzhe Wang,A,Successful Participant,182
32272,Yazhen Sun,A,Successful Participant,114
32273,Qicheng Xu,B,Successful Participant,114
32274,Shuxian Miao,A,Successful Participant,114
32276,Zewen Wang,A,Successful Participant,186
32277,Yuan Cao,B,Successful Participant,90
32278,Meng Zhang,A,Successful Participant,111
32279,Zhihong Luo,A,Successful Participant,94
32280,Zhihong Luo,A,Honorable Mention,94
32281,Zhenglu Jiang,A,Honorable Mention,94
32282,Changchun Sun,A,Successful Participant,114
32283,Changchun Sun,A,Honorable Mention,114
32284,Qicheng Xu,A,Successful Participant,114
32285,Qicheng Xu,A,Successful Participant,114
32286,Qicheng Xu,A,Successful Participant,114
32287,Zhenguo Xu,A,Honorable Mention,197
32288,Tao Ren,A,Successful Participant,198
32289,Jiangrong Chen,D,Honorable Mention,198
32291,Tao Ren,B,Successful Participant,198
32292,Jiangrong Chen,B,Successful Participant,198
32293,Tao Ren,B,Successful Participant,198
32294,Jiangrong Chen,A,Successful Participant,198
32295,Tao Ren,A,Successful Participant,198
32296,Yacong Zhang,A,Honorable Mention,205
32297,Hanzhi Zhang,A,Honorable Mention,206
32298,JUNFENG YIN,A,Successful Participant,82
32299,wenyu zhang,B,Successful Participant,208
32300,Jiangrong Chen,A,Honorable Mention,198
32301,Dong Zhang,A,Honorable Mention,210
32302,Xie Xie,B,Successful Participant,211
32303,Taishan Zeng,A,Honorable Mention,109
32304,Shu long Li,B,Successful Participant,213
32305,XiLian Wang,A,Honorable Mention,214
32306,Xin Jing,A,Successful Participant,114
32307,Qicheng Xu,A,Successful Participant,114
32308,Qicheng Xu,A,Successful Participant,114
32309,Changchun Sun,A,Successful Participant,114
32310,Shuxian Miao,A,Successful Participant,114
32311,Shuxian Miao,A,Honorable Mention,114
32312,Yuanming Hu,D,Honorable Mention,87
32313,Liuqiang Zhong,A,Honorable Mention,109
32314,Luo Kun,A,Successful Participant,1
32315,Guoyan Chen,B,Successful Participant,224
32316,Guoyan Chen,B,Successful Participant,224
32317,Guoyan Chen,A,Honorable Mention,224
32318,Guoyan Chen,D,Meritorious,224
32319,Guoyan Chen,A,Honorable Mention,224
32320,Guoyan Chen,B,Successful Participant,224
32321,Guoyan Chen,B,Successful Participant,224
32322,Debo Fu,A,Successful Participant,231
32323,Xiangguan Liu,B,Honorable Mention,232
32324,Meisong Tong,A,Honorable Mention,82
32325,Yongdao Zhou,B,Successful Participant,1
32326,XUMING YI,A,Honorable Mention,87
32327,Zhongming Ma,D,Meritorious,236
32328,feng Jiang,A,Honorable Mention,237
32329,Jiangrong Chen,D,Honorable Mention,198
32330,Jiangrong Chen,D,Successful Participant,198
32331,Jiangrong Chen,A,Successful Participant,198
32332,Jiangrong Chen,A,Successful Participant,198
32333,Jiangrong Chen,A,Honorable Mention,198
32334,Jiangrong Chen,D,Honorable Mention,198
32335,HUI PENG,B,Meritorious,87
32336,Tao Ren,A,Successful Participant,198
32337,Tao Ren,A,Successful Participant,198
32338,Tao Ren,D,Successful Participant,198
32339,Tao Ren,D,Successful Participant,198
32340,Yongming Liu,B,Successful Participant,249
32341,Ming Ying Lisa Chu,A,Honorable Mention,13
32342,Ming Ying Lisa Chu,A,Successful Participant,13
32343,Ming Ying Lisa Chu,A,Successful Participant,13
32344,Liang liang Ma,A,Honorable Mention,135
32345,Jun Wang,A,Successful Participant,82
32346,Jiajun Zhang,D,Honorable Mention,94
32347,Shunyong Li,A,Honorable Mention,93
32348,Chengbo Zhai,B,Successful Participant,93
32349,Chun-Song Bai,B,Honorable Mention,258
32350,Xu Chuan You,A,Successful Participant,258
32351,Tang Jian,A,Successful Participant,260
32352,ge xin tong,A,Successful Participant,260
32353,Jiajun Zhang,D,Successful Participant,94
32354,Duping Yuan,A,Honorable Mention,263
32355,Jinglai Li,B,Meritorious,263
32356,Qian Guan,A,Successful Participant,137
32357,Tao Ren,D,Successful Participant,198
32358,Tao Ren,C,Successful Participant,198
32359,Yunlong Sun,B,Honorable Mention,25
32360,Tao Ren,D,Successful Participant,198
32361,Tao Ren,B,Successful Participant,198
32362,Tao Ren,B,Successful Participant,198
32363,Xiao-Jia Liu,A,Successful Participant,211
32364,Chang-Xing Li,A,Honorable Mention,211
32365,Yijun He,B,Successful Participant,93
32366,xiaomin wang,A,Successful Participant,263
32367,Di Liu,B,Successful Participant,93
32368,Liling Xie,A,Meritorious,109
32369,Zhenglu Jiang,B,Honorable Mention,94
32370,Xiaohong Zhang,A,Successful Participant,279
32371,Xin Wang,A,Successful Participant,280
32372,wanyi li,A,Successful Participant,4
32373,Tao Ding,B,Successful Participant,282
32374,xiaomin wang,A,Successful Participant,263
32375,Peter Loth,A,Successful Participant,284
32376,Peter Loth,B,Successful Participant,284
32377,Yanmao Chen,A,Meritorious,286
32378,Zhibin Xiong,A,Successful Participant,109
32379,ShuHua Mao,B,Successful Participant,288
32380,Jian Xiao,A,Successful Participant,97
32381,Jianmei Shuai,B,Successful Participant,47
32382,xiaomin wang,D,Successful Participant,263
32383,yaosheng Li,A,Honorable Mention,292
32384,Xuesen Yang,A,Successful Participant,293
32385,Xiaobing Ma,A,Finalist,294
32386,Wei Xu,A,Meritorious,133
32387,xiaomin wang,D,Honorable Mention,263
32388,Guoliang Yang,A,Successful Participant,125
32389,Shenghong Li,B,Meritorious,232
32390,Baoyun Wang,A,Successful Participant,299
32391,Shangzhi Li,B,Finalist,31
32392,LI LIU,A,Meritorious,4
32393,Ivan Corwin,B,Honorable Mention,302
32394,weifeng zhang,C,Successful Participant,303
32395,Yonghui Wang,A,Successful Participant,100
32396,Yang Li,A,Honorable Mention,100
32397,Chunfu Jia,A,Honorable Mention,7
32399,Qicheng Xu,A,Successful Participant,114
32400,Qicheng Xu,A,Successful Participant,114
32401,Fei Wang,D,Successful Participant,110
32402,Liang Chen,D,Honorable Mention,154
32403,jian ye an,D,Honorable Mention,14
32404,Guocan Feng,B,Meritorious,94
32405,Yi Li,A,Honorable Mention,25
32406,Yanhui Guan,D,Honorable Mention,94
32407,Yanhui Guan,A,Honorable Mention,94
32408,Qinghui Zhang,A,Meritorious,94
32409,Baoyun Wang,B,Successful Participant,299
32410,Baoyun Wang,A,Successful Participant,299
32411,Yang Wu,B,Successful Participant,87
32412,xiaomin wang,D,Successful Participant,263
32413,Baoyun Wang,A,Successful Participant,299
32414,qian wang,A,Successful Participant,322
32415,Baoyun Wang,A,Successful Participant,299
32416,Qinghui Zhang,C,Successful Participant,94
32417,Yi Xue,C,Honorable Mention,325
32418,Tiefeng Ma,A,Successful Participant,25
32419,Xingming Shu,A,Successful Participant,280
32420,jialiang Xiang,D,Honorable Mention,82
32421,Li Sun,B,Honorable Mention,329
32422,Zhujun Fan,A,Successful Participant,94
32423,Wenyi Chai,B,Honorable Mention,125
32424,xiaomin wang,A,Honorable Mention,263
32425,Jinping Jia,A,Successful Participant,333
32426,Jun Zhang,D,Honorable Mention,334
32427,Jinping Jia,A,Successful Participant,333
32428,Jinping Jia,B,Successful Participant,333
32429,Jinping Jia,A,Successful Participant,333
32430,Qingquan Wang,A,Honorable Mention,338
32431,Jinping Jia,B,Successful Participant,333
32432,Yongming Liu,B,Honorable Mention,249
32433,Lizhuo ZHANG,A,Honorable Mention,125
32434,Xiaoqin Zhang,A,Successful Participant,93
32435,Zengchang Qin,C,Successful Participant,31
32436,Bing Li,A,Meritorious,344
32437,Dai Dai,A,Honorable Mention,25
32438,Jianfen Feng,A,Honorable Mention,346
32439,Guozhen Zhang,A,Honorable Mention,93
32440,Jiangrong Chen,A,Successful Participant,198
32441,Jiangrong Chen,B,Successful Participant,198
32442,Jiangrong Chen,A,Honorable Mention,198
32443,Jiangrong Chen,A,Successful Participant,198
32444,Jiangrong Chen,A,Honorable Mention,198
32446,Jiangrong Chen,B,Successful Participant,198
32447,Chengdong Dong,A,Successful Participant,354
32448,Weiyong Yang,A,Honorable Mention,125
32450,Yong Wang,A,Successful Participant,356
32451,Guoqing Yang,B,Successful Participant,82
32452,Mengping Tao,A,Successful Participant,358
32453,Ying Liu,D,Successful Participant,125
32454,Mingming Wang,A,Successful Participant,125
32455,Zhujun Fan,A,Successful Participant,94
32456,dai DAI,A,Successful Participant,25
32457,Ting Li,A,Successful Participant,363
32458,Yuqiang Li,A,Honorable Mention,249
32459,Weiqi Luo,A,Honorable Mention,94
32460,Jinping Jia,B,Successful Participant,333
32461,Guocan Feng,A,Successful Participant,94
32462,Yungang Wei,C,Honorable Mention,182
32463,HaiYun Zhang,D,Successful Participant,125
32464,Mingxi Wang,D,Honorable Mention,125
32466,Bin Wu,B,Meritorious,4
32467,Xiaobing Ma,B,Honorable Mention,294
32468,JUN-YI ZHENG,B,Honorable Mention,125
32469,Yasheng Zou,A,Successful Participant,125
32470,FANRUILIN ZENG,D,Meritorious,375
32471,Haizhang Zhang,A,Successful Participant,3
32472,Zhijie Cai,A,Honorable Mention,90
32473,Shuangbao Li,A,Honorable Mention,378
32474,fang yi,A,Meritorious,379
32475,Ming Ying Lisa Chu,A,Successful Participant,13
32476,Ming Ying Lisa Chu,A,Successful Participant,13
32477,Ming Ying Lisa Chu,A,Successful Participant,13
32478,Guisong Chang,D,Honorable Mention,383
32479,Xianliang Hu,A,Successful Participant,232
32480,Sun yunlong,B,Finalist,25
32481,Yuehui Zhang,A,Successful Participant,263
32482,yunlong sun,B,Honorable Mention,25
32483,Jijun Liu,A,Successful Participant,388
32484,Bing Li,A,Successful Participant,125
32485,lin zhang,A,Honorable Mention,4
32486,Yuantao Xie,D,Successful Participant,125
32487,Mingming Wang,D,Honorable Mention,125
32488,Sheng Chang,A,Meritorious,87
32489,Weifen Zhuang,D,Successful Participant,394
32490,Zhijie Cai,A,Meritorious,90
32491,Junhao Hu,A,Honorable Mention,96
32492,Junhao Hu,A,Successful Participant,96
32493,LIQI JIANG,D,Honorable Mention,398
32494,KE WANG,A,Honorable Mention,399
32495,Qiang Yao,B,Honorable Mention,249
32496,Rujun Wang,A,Successful Participant,401
32497,Xuewen Li,A,Honorable Mention,402
32498,Lizhuo Zhang,C,Honorable Mention,125
32499,LIXIN LIU,D,Meritorious,125
32500,QIANG ZHANG,A,Unsuccessful,210
32502,Mingxi Wang,A,Successful Participant,125
32503,MINGXI WANG,C,Successful Participant,125
32504,Wang Hongzhou,B,Honorable Mention,402
32505,Zongtian Wei,A,Successful Participant,409
32506,Zongtian Wei,C,Successful Participant,409
32507,weihong wang,D,Honorable Mention,411
32508,Zongtian Wei,D,Honorable Mention,409
32509,Zongtian Wei,D,Honorable Mention,409
32510,Zongtian Wei,D,Honorable Mention,409
32511,Zongtian Wei,C,Successful Participant,409
32512,Biao Ma,C,Successful Participant,154
32513,Biao Ma,B,Successful Participant,154
32514,Lizhuo Zhang,A,Honorable Mention,125
32515,dai dai,C,Honorable Mention,419
32516,Yan Li,D,Honorable Mention,125
32517,Meisong Tong,A,Successful Participant,82
32518,xiaomin wang,A,Honorable Mention,263
32519,xiaomin wang,A,Meritorious,263
32520,ZhiChao SHAO,A,Honorable Mention,125
32521,xiaomin wang,A,Successful Participant,263
32522,xiaomin wang,A,Meritorious,263
32523,xiaomin wang,B,Successful Participant,263
32524,Guoqing Zhang,B,Successful Participant,428
32525,Dan Tang,A,Successful Participant,429
32526,Shaowen Li,D,Meritorious,430
32527,Meisong Tong,A,Successful Participant,82
32528,Meisong Tong,A,Successful Participant,82
32529,Tao Ren,A,Successful Participant,198
32530,Jing Xu,D,Successful Participant,125
32531,Tao Ren,D,Honorable Mention,198
32532,Ying Liu,A,Successful Participant,436
32533,Lizhuo Zhang,A,Successful Participant,125
32534,Tao Ren,B,Honorable Mention,198
32535,Tao Ren,A,Successful Participant,198
32536,Tao Ren,A,Successful Participant,198
32537,Chao Wang,A,Successful Participant,7
32538,Tao Ren,B,Successful Participant,198
32539,Xiaoyan Zhang,A,Honorable Mention,125
32540,Tao Ren,B,Successful Participant,198
32541,Tao Ren,A,Successful Participant,198
32542,Tao Ren,C,Honorable Mention,198
32543,Qin Huang,B,Meritorious,31
32544,Dong Yang,A,Meritorious,210
32545,Shaowen Li,A,Successful Participant,25
32546,Shixiao Xiao,A,Successful Participant,450
32547,Dongmei Yang,D,Honorable Mention,125
32548,Liang Li,A,Successful Participant,125
32549,Mei Dong,A,Successful Participant,453
32550,Jiankui Yang,A,Successful Participant,4
32551,Xiong Du,A,Honorable Mention,97
32552,Yi Xue,D,Honorable Mention,125
32553,Jing Xu,A,Honorable Mention,457
32554,XinHua Jiang,A,Honorable Mention,458
32555,Lan Ding,D,Honorable Mention,125
32556,Xianlin Jiang,B,Successful Participant,125
32557,xiaomin wang,A,Successful Participant,263
32558,xiaomin wang,A,Successful Participant,263
32559,xiaomin wang,A,Honorable Mention,263
32560,xiaomin wang,A,Honorable Mention,263
32561,xiaomin wang,A,Successful Participant,263
32562,Xiaoyong Cao,D,Successful Participant,466
32563,Xiaoqun Zhang,D,Honorable Mention,467
32564,su yan ling,B,Successful Participant,468
32565,Xiaowei Chen,A,Honorable Mention,7
32566,Yongdao Zhou,D,Honorable Mention,470
32567,Jin Liang,A,Honorable Mention,82
32568,chenyang wang,A,Successful Participant,125
32569,Tianyi Wang,A,Honorable Mention,125
32570,Yanhui Li,A,Successful Participant,94
32571,Jian Liu,A,Successful Participant,47
32572,Jianye Yan,A,Meritorious,125
32573,Yuzhuo Zhang,A,Successful Participant,125
32574,Zhibing Li,D,Honorable Mention,478
32575,Dongliang Cai,B,Successful Participant,25
32576,LIZHUO ZHANG,B,Honorable Mention,480
32577,Meisong Tong,A,Successful Participant,82
32578,Xiangzhong Fang,A,Successful Participant,137
32579,WeiXing WU,B,Honorable Mention,125
32580,WeiXing WU,A,Successful Participant,125
32581,Xiping Liu,B,Honorable Mention,428
32582,xiaochang zhang,A,Meritorious,457
32583,Chengyuan Yin,B,Honorable Mention,6
32584,Jianxin Zhu,A,Meritorious,232
32585,Baodong Liu,A,Successful Participant,489
32586,xiaomin wang,D,Meritorious,263
32587,xiaomin wang,B,Meritorious,263
32588,xiaomin wang,A,Successful Participant,263
32590,Shikun Xu,A,Honorable Mention,125
32591,Dan Tang,D,Honorable Mention,125
32592,Xuefeng Yin,A,Honorable Mention,82
32593,Yongming Liu,B,Successful Participant,249
32594,Lizhuo ZHANG,B,Honorable Mention,125
32595,Chun Li,A,Meritorious,210
32597,Chao Yu,D,Successful Participant,125
32598,Rong Zhou,B,Successful Participant,1
32599,Hua Tian,A,Meritorious,4
32600,Yan Yu,A,Honorable Mention,363
32601,Tiansi ZHANG,B,Successful Participant,428
32602,Jingheng Cai,A,Successful Participant,94
32603,Jingheng Cai,B,Successful Participant,94
32604,Guimei Luo,B,Honorable Mention,506
32605,Lemin Wu,A,Honorable Mention,137
32606,Xiaoqi Feng,A,Honorable Mention,125
32607,Qian Yin,B,Honorable Mention,182
32608,Peixing Li,B,Successful Participant,94
32609,Jianxin Wu,A,Meritorious,210
32610,Jianqiu Chen,D,Honorable Mention,125
32611,Xinhua Jiang,D,Meritorious,125
32612,Peixing Li,A,Honorable Mention,94
32613,Yanhui Guan,A,Honorable Mention,94
32614,Ninghua Tong,A,Honorable Mention,123
32615,Liling Xie,A,Successful Participant,109
32616,Maoqiang Xie,B,Meritorious,7
32617,Lianzu Jiao,D,Honorable Mention,109
32618,Dongyun Du,B,Meritorious,125
32619,Haibing Xie,A,Successful Participant,125
32620,Guosheng Cheng,D,Finalist,522
32621,Jianxin Zhu,A,Honorable Mention,232
32622,Juan Zhou,A,Successful Participant,125
32623,Yin Chen,A,Successful Participant,125
32624,Dai Dai,A,Honorable Mention,25
32625,Lan Ding,D,Honorable Mention,125
32626,Paul Isihara,B,Successful Participant,528
32627,Wande Fan,A,Honorable Mention,7
32628,Fubin Wang,A,Successful Participant,530
32629,Xin He,A,Honorable Mention,531
32630,Xinchao Zhao,A,Honorable Mention,4
32631,Xinchao Zhao,B,Successful Participant,4
32632,Guifeng Yan,A,Successful Participant,402
32633,Yanbing Fang,A,Honorable Mention,535
32634,Zhi-Chao Shao,D,Honorable Mention,125
32635,Qiru Wang,A,Successful Participant,94
32636,Yanmao Chen,A,Successful Participant,94
32637,Jing Wang,B,Successful Participant,539
32638,Zhihui Zhan,A,Meritorious,94
32639,Ruilin Liu,A,Successful Participant,125
32640,Lianxin Wei,A,Successful Participant,428
32641,Xin Wei,B,Successful Participant,543
32642,Li Cui,B,Meritorious,182
32643,Zhongtang Chen,A,Honorable Mention,114
32644,Zhongtang Chen,C,Successful Participant,114
32646,Changchun Sun,A,Successful Participant,114
32647,Ying Yu,D,Honorable Mention,114
32648,Qicheng Xu,A,Successful Participant,114
32649,Enliang Zhao,A,Successful Participant,114
32650,Hong Qiao,C,Honorable Mention,125
32651,Hongchu Wang,D,Successful Participant,109
32652,Jinzhao Zhang,A,Successful Participant,125
32653,Chunjie Wu,B,Successful Participant,6
32654,Dongmei Yang,D,Successful Participant,125
32655,XIAOYU NIU,A,Meritorious,125
32656,Yang Weng,A,Successful Participant,1
32657,ZHENG MA,B,Meritorious,558
32658,QINGXIA GAO,A,Successful Participant,125
32659,Yanling Su,A,Successful Participant,125
32660,yun xu,A,Successful Participant,125
32661,Yuhan Fu,A,Successful Participant,125
32662,Jiahuan Li,C,Honorable Mention,125
32663,Shuxi Wang,D,Honorable Mention,125
32664,Zheng Wang,D,Honorable Mention,87
32665,Yanhui Guan,A,Successful Participant,94
32666,Wu Qianhong,A,Unsuccessful,31
32668,FANGFANG LIU,D,Honorable Mention,4
32669,Xiangjun Li,D,Meritorious,569
32670,Shilin Zhang,A,Honorable Mention,125
32671,Chunzheng Cao,A,Meritorious,571
32672,Chun-Zheng Cao,A,Meritorious,571
32673,Chun-Zheng Cao,A,Honorable Mention,571
32674,Baodong LIU,D,Successful Participant,489
32675,Qiang Yao,A,Successful Participant,249
32676,Qiru Wang,B,Successful Participant,94
32677,Xiaolong Jiang,B,Successful Participant,94
32678,Xuehong Zhi,D,Honorable Mention,125
32679,Yuqiang Li,A,Successful Participant,249
32680,Jiangming Sun,A,Honorable Mention,25
32681,ZI-KE ZHANG,C,Successful Participant,581
32682,Jing Li,A,Successful Participant,7
32683,Zhongtang Chen,A,Honorable Mention,114
32684,Fuzhong Wang,C,Successful Participant,114
32685,Enliang Zhao,A,Successful Participant,114
32686,Enliang Zhao,A,Successful Participant,114
32687,Lihua Sun,A,Successful Participant,114
32688,Lihua Sun,A,Successful Participant,114
32689,Lihua Sun,A,Successful Participant,114
32690,Li Zheng,A,Successful Participant,114
32691,LiZhuo Zhang,A,Honorable Mention,125
32692,Chen GongLiang,A,Honorable Mention,263
32693,SHUYAN CAO,A,Meritorious,125
32694,Zhonghao Xu,A,Honorable Mention,249
32695,Yin Chen,A,Meritorious,398
32696,YIN CHEN,A,Successful Participant,125
32697,Meisong Tong,B,Honorable Mention,82
32698,Lizhuo Zhang,A,Successful Participant,125
32699,Tianyi Wang,B,Honorable Mention,466
32700,xiaomin wang,A,Honorable Mention,263
32701,DING CHUAN,A,Meritorious,25
32702,Wenlian Ma,B,Successful Participant,602
32703,Zhengyao Li,B,Successful Participant,569
32704,SUMIN - HAO,B,Successful Participant,457
32705,Changna Lu,A,Successful Participant,571
32706,Changna Lu,B,Successful Participant,571
32707,Fengli Song,A,Successful Participant,522
32708,Hongmei Zhao,C,Successful Participant,7
32709,Chang-Na Lu,A,Honorable Mention,571
32710,Fengli Song,D,Successful Participant,522
32711,Guoxing Fang,D,Successful Participant,125
32712,Hongquan Sun,C,Successful Participant,612
